date,ncep_dswr,ncep_lftx,ncep_p__f,ncep_p__u,ncep_p__v,ncep_p__z,ncep_p_th,ncep_p_zh,ncep_p5_f,ncep_p5_z,ncep_p5th,ncep_p5zh,ncep_p8_f,ncep_p8_z,ncep_p8th,ncep_p8zh,ncep_pottmp,ncep_pr_wtr,ncep_prec,ncep_shum,Temp,temp500,temp700,temp850,temp925,dlwrf,mslp,P300,P500,P850,R500,R850,rhum,shum300,shum400,shum500,shum700,shum850,shum925,Tas,U500,U700,U850,U925,Uas,ulwrf,V500,V700,V850,V925,Vas,uswrf,dswrf,rainfall,clazz
5/1/1964,-0.823,0.078,-0.859,0.297,0.582,-0.171,299.041,-0.492,-0.492,-0.745,82.006,-0.099,0.557,-0.061,72.161,-0.209,-0.052,0.443,3.026,-0.201,294.149993896484,266.299987792969,280.549987792969,286.600006103516,289.75,385.800048828125,101095,9595,5797,1487,85.760009765625,89.760009765625,85.5099945068359,0.000641003251075745,0.00166800245642662,0.00389500148594379,0.00567000173032284,0.010113000869751,0.0118480008095503,294.660003662109,12.0300140380859,10.6100006103516,4.66000366210938,-0.899993896484375,-3.8699951171875,429.300048828125,3.75001525878906,5.03001403808594,2.61000061035156,1.36000061035156,-1.27000427246094,23.300048828125,157.800048828125,0.049,-1
5/2/1964,-0.068,-0.354,-0.306,-0.113,0.745,0.416,292.717,-0.714,-0.714,-0.971,81.631,0.015,-0.325,-0.64,16.81,-0.655,0.126,0.515,5.642,0.182,295.279998779297,266.230010986328,280.299987792969,287.880004882813,290.549987792969,389.099853515625,101278,9633,5825,1512,78.260009765625,74.510009765625,90.5099945068359,0.000776000320911408,0.00189000181853771,0.00354000180959702,0.00578100234270096,0.00914100185036659,0.0121500007808208,295.710021972656,12.3100128173828,6.73001098632813,0.430007934570313,-3.96998596191406,-6.30000305175781,431.099853515625,1.260009765625,4.43000793457031,4.260009765625,1.18000793457031,-1.49000549316406,29.599853515625,206.300048828125,0.745,1
5/3/1964,-0.322,-0.506,-0.766,0.426,0.971,0.794,324.663,-1.167,-1.167,-0.7,70.875,-0.52,0.183,0.556,23.098,-1.049,0.402,0.479,1.459,0.378,296.330017089844,267.210021972656,282.080017089844,288.630004882812,291.830017089844,407.099853515625,101163,9667,5840,1506,84.510009765625,63.760009765625,88.0099945068359,0.000929001718759537,0.00225600227713585,0.00410700216889381,0.00511500239372253,0.00820800103247166,0.0117650013417006,297,10.4800109863281,5.91000366210938,1.81001281738281,-1.64999389648438,-3.03999328613281,432.599853515625,4.25001525878906,6.25001525878906,6.55000305175781,5.40000915527344,1.1300048828125,22.300048828125,150.800048828125,0.698,1
5/4/1964,-1.024,-0.562,-0.9,0.803,0.999,0.598,0.683,-0.994,-0.994,-0.064,54.728,-1.735,0.515,0.175,31.803,-1.189,0.58,0.517,4,0.554,296.549987792969,267.429992675781,282.480010986328,289.350006103516,293.130004882812,404.800048828125,101033,9670,5837,1500,76.510009765625,70.510009765625,86.2599945068359,0.00106799975037575,0.00250400230288506,0.00377900153398514,0.00502600148320198,0.00949300080537796,0.0112880021333694,297.75,10.4800109863281,7.05000305175781,3.73001098632812,1.83000183105469,-0.319992065429687,433.599853515625,11.4100036621094,7.8800048828125,6.86000061035156,6.3800048828125,3.46000671386719,20.599853515625,132.099853515625,5.452,1
5/5/1964,0.521,-0.685,-0.673,0.142,0.582,0.904,292.975,-0.597,-0.597,0.095,66.186,-1.098,0.168,0.859,40.083,-0.852,0.383,0.986,10.229,0.547,296.049987792969,267,282,289.559997558594,292.730010986328,401.300048828125,101003,9662,5829,1494,92.010009765625,84.010009765625,94.5099945068359,0.00100800022482872,0.00271700136363506,0.00441200099885464,0.00594000145792961,0.0114700011909008,0.0143730007112026,296.779998779297,13.7800140380859,10.3100128173828,4.53001403808594,-0.419998168945313,-3.94000244140625,433.099853515625,6.98001098632813,7.71000671386719,6.03001403808594,4.83000183105469,-0.740005493164063,30.800048828125,211.599853515625,12.612,1
5/6/1964,-0.077,-0.497,-0.524,-0.026,0.187,0.546,271.983,-0.004,-0.004,-0.902,74.238,-0.66,-0.468,-0.893,56.494,-0.406,0.323,0.974,2.663,0.294,295.380004882812,267.100006103516,281.929992675781,289.230010986328,291.600006103516,399.300048828125,101100,9652,5834,1504,95.010009765625,80.260009765625,90.2599945068359,0.000967003405094147,0.00239900127053261,0.00459200143814087,0.00664500147104263,0.0107400007545948,0.0131410006433725,296.5,14.4600067138672,8.83000183105469,3.56001281738281,-0.999984741210938,-4.28999328613281,432.300048828125,2.68000793457031,1.60000610351563,2.010009765625,0.360000610351562,-3.16999816894531,26.099853515625,175.300048828125,3.752,1
5/7/1964,0.575,-0.5,-0.72,0.135,0.367,0.498,282.15,-0.423,-0.423,-0.216,85.022,-0.061,-0.359,0.199,42.186,-0.712,0.343,0.576,0.345,0.352,295.899993896484,266.679992675781,282.210021972656,290.330017089844,292.25,393.800048828125,101098,9638,5842,1505,81.510009765625,68.760009765625,89.0099945068359,0.000694002956151962,0.00157600082457066,0.00381200201809406,0.00611300207674503,0.00988000072538853,0.0124950017780066,296.609985351562,11.1100006103516,6.40000915527344,2.31001281738281,-1.03999328613281,-2.88999938964844,434.300048828125,-0.639999389648438,1.00001525878906,2.06001281738281,0.710006713867188,-1.5,33.800048828125,235.099853515625,0.452,-1
5/8/1964,0.974,-0.747,-0.838,0.329,0.706,0.862,307.269,-0.804,-0.804,-0.211,90,0.247,-0.111,0.18,37.062,-0.79,0.442,0.513,2.439,0.522,296.380004882812,266.400024414063,281.980010986328,289.910003662109,292.549987792969,391.800048828125,101110,9650,5845,1508,64.260009765625,69.760009765625,90.5099945068359,0.000763002783060074,0.00141200050711632,0.00293100066483021,0.00596300140023232,0.00976100191473961,0.0123180020600557,297.130004882812,10.7300109863281,6.00001525878906,1.760009765625,-0.839996337890625,-3.56999206542969,435.800048828125,-1.74998474121094,2.91000366210937,3.3800048828125,2.78001403808594,-0.289993286132812,36.599853515625,257.599853515625,0,-1
5/9/1964,0.924,-0.673,-0.81,1.12,0.96,-0.275,32.007,-1.089,-1.089,0.392,98.557,0.382,0.109,-0.263,55.409,-0.753,0.521,0.39,0.536,0.653,296.97998046875,267.679992675781,282.299987792969,290.850006103516,294.309997558594,400.300048828125,101018,9672,5845,1503,54.510009765625,63.760009765625,92.0099945068359,0.000640001147985458,0.00141600146889687,0.00273800082504749,0.00554800219833851,0.00948300212621689,0.01154800131917,297.460021972656,5.16000366210938,4.73001098632813,2.80000305175781,1.91000366210938,-0.470001220703125,437.599853515625,-1.01998901367188,2.03001403808594,4.46000671386719,4.30000305175781,2.90000915527344,33.800048828125,241.099853515625,0.503,-1
5/10/1964,-0.162,-0.588,-0.903,1.168,0.762,0.3,43.456,-0.612,-0.612,0.165,86.055,0.209,0.639,0.41,56.896,-0.556,0.719,0.911,5.04,0.716,296.830017089844,269,283.080017089844,291.330017089844,295.460021972656,414.599853515625,100825,9710,5845,1489,78.760009765625,65.510009765625,90.0099945068359,0.00107500329613686,0.00279500149190426,0.00441300123929977,0.00636300072073936,0.0100110024213791,0.0124550014734268,298.309997558594,8.33000183105469,6.83000183105469,6.28001403808594,5.75001525878906,3.00999450683594,437.599853515625,0.310012817382812,2.86000061035156,5.1300048828125,5.81001281738281,4.75,23.599853515625,161.800048828125,2.497,1
5/11/1964,-1.337,0.138,0.898,-1.082,-0.169,1.238,264.047,0.233,0.233,-0.734,90,0.253,-1.21,0.482,24.378,0.076,-0.052,1.589,20.07,0.094,293.529998779297,268.429992675781,281.429992675781,287.380004882812,289.330017089844,398.800048828125,101183,9699,5844,1499,97.760009765625,94.010009765625,97.5099945068359,0.000981003046035767,0.00310200080275536,0.00522500090301037,0.00846800208091736,0.0111130010336638,0.0120600014925003,294.630004882812,12.0800018310547,7.18000793457031,-3.03999328613281,-7.54998779296875,-9.59999084472656,431.800048828125,0.910003662109375,3.53001403808594,1.3800048828125,-5.39999389648438,-9.489990234375,16.800048828125,111.300048828125,3.703,1
5/12/1964,-1.194,0.563,0.587,-0.856,0.299,1.108,273.453,0.119,0.119,-0.495,84.853,0.215,-0.881,0.682,311.435,0.081,-0.309,1.043,6.628,-0.14,293.72998046875,267.910003662109,280.780029296875,285.710021972656,287.030029296875,396.599853515625,101468,9684,5845,1513,87.260009765625,94.510009765625,92.0099945068359,0.000722002238035202,0.00201200135052204,0.00448700226843357,0.00889300182461739,0.0100360009819269,0.0103400014340878,293.549987792969,14.5800018310547,4.6300048828125,-3.3699951171875,-8.13998413085938,-8.75,432.300048828125,2.50001525878906,-0.0399932861328125,-0.269989013671875,-4.88998413085938,-6.56999206542969,17.099853515625,112.099853515625,2.923,1
5/13/1964,-0.326,-0.03,0.404,-0.688,0.649,0.994,282.182,-0.352,-0.352,0.412,100.183,0.841,-0.374,0.314,294.69,-0.328,0.007,1.079,8.551,0.126,295.179992675781,267.150024414062,280.710021972656,285.179992675781,287.980010986328,397.800048828125,101473,9668,5844,1520,70.010009765625,97.260009765625,89.7599945068359,0.000788003206253052,0.00220300070941448,0.00339900143444538,0.00880800187587738,0.00997800193727016,0.0109980013221502,295.25,12.2100067138672,1.68000793457031,-5.49998474121094,-9.3699951171875,-8.41999816894531,435.099853515625,-3.49998474121094,0.610000610351563,1.78001403808594,-2.6199951171875,-3.91999816894531,22.599853515625,152.599853515625,0.461,-1
5/14/1964,0.543,-0.215,0.142,-0.31,1.287,0.587,303.145,-0.794,-0.794,0.898,113.814,1.392,-0.126,-0.702,293.814,-0.432,0.224,0.746,11.328,0.189,295.779998779297,266.980010986328,280.480010986328,285.309997558594,289.25,391.800048828125,101308,9641,5829,1512,63.010009765625,94.260009765625,86.5099945068359,0.000688999891281128,0.00167400203645229,0.00301000103354454,0.00750300101935864,0.00974600203335285,0.0116460006684065,296.210021972656,10.4800109863281,-1.06999206542969,-6.08999633789063,-9.01998901367188,-8.83999633789063,437.300048828125,-6.81999206542969,1.52587890625e-05,2.70001220703125,0.0500030517578125,0.930007934570312,34.300048828125,238.599853515625,0.825,1
5/15/1964,0.506,-0.518,0.429,-0.436,1.598,0.717,306.694,-1.301,-1.301,-0.284,106.396,0.582,0.676,-0.302,308.243,-1.178,0.303,0.813,8.807,0.495,296.359985351563,267.25,281.850006103516,286.880004882812,290.660003662109,397.599853515625,101238,9673,5844,1511,92.510009765625,92.510009765625,91.7599945068359,0.000678002834320068,0.0017470009624958,0.00452700071036816,0.00612300075590611,0.010631000623107,0.0129080023616552,296.529998779297,4.43000793457031,-3.739990234375,-7.08999633789063,-10.1199951171875,-9.31999206542969,438.599853515625,-4.08999633789063,1.96000671386719,4.33000183105469,2.260009765625,1.58000183105469,34.599853515625,243.300048828125,0.23,-1
5/16/1964,0.567,-0.633,-0.142,0.41,1.79,0.285,339.572,-1.667,-1.667,-0.748,108.752,0.582,-0.178,-0.03,349.01,-1.199,0.541,1.138,5.44,0.617,297.209991455078,268.100006103516,283,288.780029296875,292.679992675781,405.300048828125,101190,9710,5865,1513,75.010009765625,86.260009765625,89.7599945068359,0.000830002129077911,0.00225300155580044,0.00391500070691109,0.00708300061523914,0.011183001101017,0.0135530009865761,297.710021972656,3.73001098632812,1.80000305175781,-1.489990234375,-5.39999389648438,-6.03999328613281,440.300048828125,-1.989990234375,3.010009765625,3.43000793457031,4.010009765625,4.36000061035156,33.300048828125,234.300048828125,1.696,1
5/17/1964,0.635,-0.504,-0.348,1.368,1.355,-0.351,36.727,-1.182,-1.182,-0.798,106.748,0.679,-0.016,-1.298,51.757,-0.758,0.679,1.072,1.857,0.783,297.599975585937,269.350006103516,283,290.850006103516,294.350006103516,404.300048828125,100850,9702,5854,1491,74.760009765625,73.260009765625,89.7599945068359,0.000876002013683319,0.00194000080227852,0.00429200194776058,0.00692800246179104,0.0108710024505854,0.0134750008583069,298.109985351562,6.96000671386719,5.33000183105469,1.98001098632813,0.750015258789063,-1.22000122070313,441.300048828125,-2.26998901367187,2.1300048828125,3.43000793457031,5.33000183105469,6.33000183105469,34.099853515625,235.300048828125,0.207,-1
5/18/1964,0.681,-0.68,-0.617,1.362,0.932,0.247,48.565,-0.578,-0.578,-0.365,106.879,1.29,0.683,-0.194,75.715,-0.105,0.778,0.835,0.369,0.951,297.709991455078,269.5,284.030029296875,291.200012207031,295.350006103516,409.599853515625,100413,9675,5830,1455,57.760009765625,72.010009765625,93.7599945068359,0.000562001019716263,0.00129500031471252,0.00333700142800808,0.0069080013781786,0.0109430011361837,0.0126480013132095,298.210021972656,11.6600036621094,7.65000915527344,5.06001281738281,4.91000366210938,1.55999755859375,442.099853515625,-4.26998901367188,-1.13999938964844,1.78001403808594,3.58000183105469,5.52999877929688,31.599853515625,222.300048828125,0,-1
5/19/1964,0.247,-0.795,-1.039,0.481,0.621,0.593,313.742,-0.382,-0.382,0.089,122.985,1.852,-0.185,0.094,73.604,-0.033,0.738,1.426,1.877,0.835,297.099975585937,268.780029296875,283.960021972656,290.75,294.600006103516,412.800048828125,100333,9669,5823,1446,69.510009765625,87.260009765625,95.0099945068359,0.000405002385377884,0.00122400000691414,0.00378700159490108,0.00949300080537796,0.0128430016338825,0.013806002214551,298,9.71000671386719,8.31001281738281,4.21000671386719,2.05000305175781,-2.44000244140625,440.599853515625,-7.28999328613281,-3.01998901367187,0.210006713867187,-0.569992065429688,-0.569992065429688,29.599853515625,198.599853515625,1.557,1
5/20/1964,0.993,-0.209,-0.925,0.274,0.113,-0.406,268.05,0.002,0.002,0.036,142.718,2.219,-0.231,0.597,111.508,0.527,0.501,1.225,1.412,0.544,296.429992675781,270.160003662109,283.75,290.25,292.75,398.599853515625,100483,9696,5829,1450,52.260009765625,90.760009765625,92.7599945068359,0.000409003347158432,0.00120500102639198,0.00316300243139267,0.00872800126671791,0.0129700023680925,0.0138230007141829,296.929992675781,7.16000366210938,6.83000183105469,4.91000366210938,1.35000610351563,-4.16999816894531,440.599853515625,-9.74998474121094,-5.46998596191406,-2.21998596191406,-1.81999206542969,-2.88999938964844,38.800048828125,271.599853515625,1.898,1
5/21/1964,1.685,-0.016,-0.813,0.238,-0.237,-0.661,246.862,0.218,0.218,-0.498,163.19,1.9,-0.64,-0.237,142.159,0.594,0.402,0.962,0.785,0.469,296.330017089844,270.580017089844,283.460021972656,289.380004882812,292.380004882812,396.099853515625,100685,9711,5841,1467,39.75,90.760009765625,92.0099945068359,0.000353001058101654,0.000874999910593033,0.0024930015206337,0.0088030006736517,0.0122560020536184,0.0136160012334585,296.549987792969,2.58000183105469,3.68000793457031,1.16000366210938,-1.49998474121094,-3.83999633789062,441.099853515625,-9.16999816894531,-5.76998901367188,-2.81999206542969,-2.06999206542969,-2.69000244140625,42.599853515625,298.300048828125,0,-1
5/22/1964,0.809,0.073,-0.977,0.329,-0.056,-0.662,255.087,0.059,0.059,-0.288,118.885,1.074,-1.088,0.433,90,0.076,0.383,0.854,0.477,0.403,296.399993896484,270.880004882813,283.429992675781,289.299987792969,291.980010986328,396.099853515625,100815,9719,5852,1476,33.75,86.760009765625,90.2599945068359,0.000555001199245453,0.00105500221252441,0.00216600112617016,0.00795600190758705,0.0116530023515224,0.0134150013327599,296.549987792969,4.56001281738281,2.6300048828125,0.310012817382812,-1.51998901367188,-2.69000244140625,441.599853515625,-4.71998596191406,-1.89999389648438,-0.769989013671875,-1.08999633789063,-4.13999938964844,38.099853515625,262.800048828125,0,-1
5/23/1964,0.599,-0.162,-1.079,0.419,0.384,0.038,292.073,-0.367,-0.367,0.624,123.886,1.236,-0.646,-0.346,24.378,-0.447,0.521,0.83,0.218,0.532,296.880004882812,270.080017089844,282.5,289.380004882812,292.730010986328,400.099853515625,100755,9697,5837,1477,37.25,85.510009765625,88.7599945068359,0.000633999705314636,0.00122200325131416,0.00225100107491016,0.00660600140690804,0.0115510020405054,0.0139150023460388,297.22998046875,6.53001403808594,2.41000366210937,-0.139999389648438,-1.989990234375,-3.58999633789062,441.800048828125,-6.08999633789063,-1.49998474121094,0.8800048828125,0.180007934570313,-2.28999328613281,33.599853515625,225.599853515625,0,-1
5/24/1964,0.918,-0.603,-0.924,0.442,0.751,-0.349,317.29,-0.562,-0.562,0.187,118.885,1.198,-0.963,0.13,349.726,-0.23,0.738,0.867,4.202,0.808,297.580017089844,269.100006103516,283.080017089844,289.960021972656,294.150024414062,403.800048828125,100628,9693,5832,1469,49.760009765625,81.510009765625,89.0099945068359,0.000682000070810318,0.00139600038528442,0.00280000083148479,0.00618000142276287,0.0114310011267662,0.0138700008392334,298.210021972656,6.71000671386719,3.3800048828125,0.3800048828125,-1.01998901367188,-2.05000305175781,443.300048828125,-3.489990234375,-1.76998901367188,1.70001220703125,1.93000793457031,0.8800048828125,36.099853515625,252.599853515625,0,-1
5/25/1964,1.056,-0.483,-0.587,0.022,0.215,-0.265,273.42,-0.012,-0.012,-0.293,122.231,1.22,-1.221,-0.022,118.885,0.107,0.541,0.846,2.639,0.578,296.649993896484,268.630004882812,282.600006103516,290.210021972656,293.75,400.099853515625,100670,9688,5829,1470,63.510009765625,80.260009765625,92.2599945068359,0.000440001487731934,0.00179700180888176,0.00344600155949593,0.00611100159585476,0.0114130023866892,0.0137400012463331,297.25,5.78001403808594,2.66000366210937,0.8800048828125,-1.76998901367188,-4.66999816894531,441.800048828125,-3.76998901367187,-2.01998901367187,-0.889999389648438,-2.24998474121094,-3.3699951171875,37.800048828125,263.599853515625,0,-1
5/26/1964,0.891,-0.391,-0.371,-0.123,0.435,0.459,281.382,-0.451,-0.451,-0.582,105.421,0.717,-1.047,-0.297,12.766,-0.453,0.541,0.791,1.847,0.647,297.029998779297,269.380004882812,283.179992675781,289.830017089844,292.710021972656,401.599853515625,100815,9697,5844,1482,54.260009765625,82.260009765625,90.5099945068359,0.000456001609563828,0.000972002744674683,0.00310100242495537,0.00586300157010555,0.011446001008153,0.0140460021793842,297.359985351562,5.08000183105469,2.43000793457031,-0.989990234375,-5.13998413085938,-6.84999084472656,442.099853515625,-0.889999389648438,0.8800048828125,1.41000366210938,-0.989990234375,-2.3699951171875,33.800048828125,232.300048828125,0.947,1
5/27/1964,1.723,-0.682,-0.657,0.474,1.169,0.413,333.528,-1.093,-1.093,-0.592,93.945,0.118,-0.646,-0.986,24.378,-0.878,0.798,0.763,0.693,0.975,298.149993896484,269.660003662109,283.850006103516,291.280029296875,294.5,402.800048828125,100870,9725,5867,1498,47.0000152587891,73.260009765625,90.5099945068359,0.000355001538991928,0.0010560005903244,0.00275000184774399,0.0054830014705658,0.011183001101017,0.0137500017881393,298.710021972656,5.33000183105469,1.36000061035156,0.530014038085938,-1.6199951171875,-3.47000122070312,443.800048828125,1.11000061035156,1.98001098632813,3.50001525878906,3.53001403808594,3.33000183105469,40.300048828125,280.300048828125,18.462,1
5/28/1964,1.742,-0.744,-1.282,0.716,0.525,-0.281,341.572,-0.515,-0.515,-1.392,69.807,0.118,-0.536,-2.178,46.007,-0.365,0.817,0.587,0.381,0.995,298.080017089844,268.910003662109,284.460021972656,291.730010986328,296.130004882813,403.599853515625,100980,9739,5881,1511,48.0000152587891,70.510009765625,91.2599945068359,0.000609003007411957,0.00162900239229202,0.00266100093722343,0.00531800091266632,0.0110860019922256,0.0130700021982193,298.859985351563,4.11000061035156,2.71000671386719,2.8800048828125,2.260009765625,-0.19000244140625,445.599853515625,3.00001525878906,3.96000671386719,2.71000671386719,2.6300048828125,1.43000793457031,41.300048828125,291.599853515625,36.791,1
5/29/1964,1.161,-0.574,-0.95,0.597,0.875,0.188,336.624,-0.977,-0.977,-0.913,48.228,-0.795,0.626,-2.739,27.379,-1.199,0.719,0.721,0.43,0.833,297.849975585937,268.960021972656,282.850006103516,291.429992675781,295.730010986328,408.099853515625,100935,9724,5867,1508,60.510009765625,69.260009765625,90.5099945068359,0.000602003186941147,0.00213100202381611,0.00338700227439404,0.00624100118875504,0.0106800012290478,0.0122930016368628,298.359985351562,8.78001403808594,7.6300048828125,2.21000671386719,0.210006713867187,-3.41999816894531,444.300048828125,7.61000061035156,8.08000183105469,5.510009765625,4.66000366210938,0.529998779296875,35.599853515625,251.599853515625,14.328,1
