c = 1, sigma = 0.1, train.rain.acc = 0.807087, train.dry.acc = 0.812802,train.acc = 0.811460, test.rain.acc = 0.800000, test.dry.acc = 0.834983, test.acc = 0.826303
c = 1, sigma = 0.001, train.rain.acc = 0.944444, train.dry.acc = 0.677632,train.acc = 0.682070, test.rain.acc = 1.000000, test.dry.acc = 0.685930, test.acc = 0.689826
c = 2, sigma = 0.001, train.rain.acc = 0.827338, train.dry.acc = 0.740191,train.acc = 0.751386, test.rain.acc = 0.836066, test.dry.acc = 0.769006, test.acc = 0.779156
c = 3, sigma = 0.001, train.rain.acc = 0.778351, train.dry.acc = 0.764640,train.acc = 0.767098, test.rain.acc = 0.804878, test.dry.acc = 0.800623, test.acc = 0.801489
c = 4, sigma = 0.001, train.rain.acc = 0.770335, train.dry.acc = 0.772050,train.acc = 0.771719, test.rain.acc = 0.783133, test.dry.acc = 0.796875, test.acc = 0.794045
c = 5, sigma = 0.001, train.rain.acc = 0.757848, train.dry.acc = 0.777648,train.acc = 0.773567, test.rain.acc = 0.764045, test.dry.acc = 0.802548, test.acc = 0.794045
c = 6, sigma = 0.001, train.rain.acc = 0.760000, train.dry.acc = 0.779463,train.acc = 0.775416, test.rain.acc = 0.766667, test.dry.acc = 0.805112, test.acc = 0.796526
c = 7, sigma = 0.001, train.rain.acc = 0.755459, train.dry.acc = 0.780774,train.acc = 0.775416, test.rain.acc = 0.769231, test.dry.acc = 0.807692, test.acc = 0.799007
c = 8, sigma = 0.001, train.rain.acc = 0.755274, train.dry.acc = 0.785799,train.acc = 0.779113, test.rain.acc = 0.763441, test.dry.acc = 0.809677, test.acc = 0.799007
c = 9, sigma = 0.001, train.rain.acc = 0.744000, train.dry.acc = 0.790865,train.acc = 0.780037, test.rain.acc = 0.752577, test.dry.acc = 0.813725, test.acc = 0.799007
c = 10, sigma = 0.001, train.rain.acc = 0.729412, train.dry.acc = 0.789601,train.acc = 0.775416, test.rain.acc = 0.740000, test.dry.acc = 0.815182, test.acc = 0.796526
c = 11, sigma = 0.001, train.rain.acc = 0.730469, train.dry.acc = 0.790557,train.acc = 0.776340, test.rain.acc = 0.735294, test.dry.acc = 0.817276, test.acc = 0.796526
c = 12, sigma = 0.001, train.rain.acc = 0.735632, train.dry.acc = 0.795371,train.acc = 0.780961, test.rain.acc = 0.735294, test.dry.acc = 0.817276, test.acc = 0.796526
c = 13, sigma = 0.001, train.rain.acc = 0.737643, train.dry.acc = 0.797314,train.acc = 0.782810, test.rain.acc = 0.737864, test.dry.acc = 0.820000, test.acc = 0.799007
c = 14, sigma = 0.001, train.rain.acc = 0.738636, train.dry.acc = 0.798289,train.acc = 0.783734, test.rain.acc = 0.737864, test.dry.acc = 0.820000, test.acc = 0.799007
c = 15, sigma = 0.001, train.rain.acc = 0.738636, train.dry.acc = 0.798289,train.acc = 0.783734, test.rain.acc = 0.730769, test.dry.acc = 0.819398, test.acc = 0.796526
c = 16, sigma = 0.001, train.rain.acc = 0.739623, train.dry.acc = 0.799266,train.acc = 0.784658, test.rain.acc = 0.730769, test.dry.acc = 0.819398, test.acc = 0.796526
c = 17, sigma = 0.001, train.rain.acc = 0.737643, train.dry.acc = 0.797314,train.acc = 0.782810, test.rain.acc = 0.737864, test.dry.acc = 0.820000, test.acc = 0.799007
c = 18, sigma = 0.001, train.rain.acc = 0.737643, train.dry.acc = 0.797314,train.acc = 0.782810, test.rain.acc = 0.737864, test.dry.acc = 0.820000, test.acc = 0.799007
c = 19, sigma = 0.001, train.rain.acc = 0.733840, train.dry.acc = 0.796093,train.acc = 0.780961, test.rain.acc = 0.740385, test.dry.acc = 0.822742, test.acc = 0.801489
c = 20, sigma = 0.001, train.rain.acc = 0.733840, train.dry.acc = 0.796093,train.acc = 0.780961, test.rain.acc = 0.747573, test.dry.acc = 0.823333, test.acc = 0.803970
