c = 1, sigma = 0.001, train.rain.acc = 0.739460, train.dry.acc = 0.735444,train.acc = 0.737568, test.rain.acc = 0.750656, test.dry.acc = 0.726982, test.acc = 0.738294
c = 2, sigma = 0.001, train.rain.acc = 0.742352, train.dry.acc = 0.744828,train.acc = 0.743503, test.rain.acc = 0.763460, test.dry.acc = 0.734710, test.acc = 0.748328
c = 3, sigma = 0.001, train.rain.acc = 0.748645, train.dry.acc = 0.750000,train.acc = 0.749278, test.rain.acc = 0.763251, test.dry.acc = 0.734127, test.acc = 0.747910
c = 4, sigma = 0.001, train.rain.acc = 0.750827, train.dry.acc = 0.753354,train.acc = 0.752005, test.rain.acc = 0.765125, test.dry.acc = 0.732650, test.acc = 0.747910
c = 5, sigma = 0.001, train.rain.acc = 0.751880, train.dry.acc = 0.754211,train.acc = 0.752968, test.rain.acc = 0.766338, test.dry.acc = 0.730980, test.acc = 0.747492
c = 6, sigma = 0.001, train.rain.acc = 0.753239, train.dry.acc = 0.754717,train.acc = 0.753930, test.rain.acc = 0.767380, test.dry.acc = 0.733858, test.acc = 0.749582
c = 7, sigma = 0.001, train.rain.acc = 0.753763, train.dry.acc = 0.755838,train.acc = 0.754732, test.rain.acc = 0.769162, test.dry.acc = 0.735433, test.acc = 0.751254
##########

c = 1, sigma = 0.001, train.rain.acc = 0.739460, train.dry.acc = 0.735444,train.acc = 0.737568, test.rain.acc = 0.750656, test.dry.acc = 0.726982, test.acc = 0.738294
c = 2, sigma = 0.001, train.rain.acc = 0.742352, train.dry.acc = 0.744828,train.acc = 0.743503, test.rain.acc = 0.763460, test.dry.acc = 0.734710, test.acc = 0.748328
c = 3, sigma = 0.001, train.rain.acc = 0.748645, train.dry.acc = 0.750000,train.acc = 0.749278, test.rain.acc = 0.763251, test.dry.acc = 0.734127, test.acc = 0.747910
c = 4, sigma = 0.001, train.rain.acc = 0.750827, train.dry.acc = 0.753354,train.acc = 0.752005, test.rain.acc = 0.765125, test.dry.acc = 0.732650, test.acc = 0.747910
c = 5, sigma = 0.001, train.rain.acc = 0.751880, train.dry.acc = 0.754211,train.acc = 0.752968, test.rain.acc = 0.766338, test.dry.acc = 0.730980, test.acc = 0.747492
c = 6, sigma = 0.001, train.rain.acc = 0.753239, train.dry.acc = 0.754717,train.acc = 0.753930, test.rain.acc = 0.767380, test.dry.acc = 0.733858, test.acc = 0.749582
c = 7, sigma = 0.001, train.rain.acc = 0.753763, train.dry.acc = 0.755838,train.acc = 0.754732, test.rain.acc = 0.769162, test.dry.acc = 0.735433, test.acc = 0.751254
c = 8, sigma = 0.001, train.rain.acc = 0.755422, train.dry.acc = 0.757378,train.acc = 0.756336, test.rain.acc = 0.770870, test.dry.acc = 0.738547, test.acc = 0.753763
c = 9, sigma = 0.001, train.rain.acc = 0.756391, train.dry.acc = 0.759367,train.acc = 0.757780, test.rain.acc = 0.771758, test.dry.acc = 0.739336, test.acc = 0.754599
c = 10, sigma = 0.001, train.rain.acc = 0.757074, train.dry.acc = 0.759615,train.acc = 0.758261, test.rain.acc = 0.773132, test.dry.acc = 0.739748, test.acc = 0.755435
c = 11, sigma = 0.001, train.rain.acc = 0.758506, train.dry.acc = 0.761071,train.acc = 0.759705, test.rain.acc = 0.771836, test.dry.acc = 0.737795, test.acc = 0.753763
c = 12, sigma = 0.001, train.rain.acc = 0.757439, train.dry.acc = 0.760922,train.acc = 0.759063, test.rain.acc = 0.773703, test.dry.acc = 0.737834, test.acc = 0.754599
c = 13, sigma = 0.001, train.rain.acc = 0.757512, train.dry.acc = 0.761184,train.acc = 0.759224, test.rain.acc = 0.773820, test.dry.acc = 0.739953, test.acc = 0.755853
c = 14, sigma = 0.001, train.rain.acc = 0.758569, train.dry.acc = 0.762036,train.acc = 0.760186, test.rain.acc = 0.774309, test.dry.acc = 0.739575, test.acc = 0.755853
c = 15, sigma = 0.001, train.rain.acc = 0.759482, train.dry.acc = 0.762363,train.acc = 0.760828, test.rain.acc = 0.774711, test.dry.acc = 0.740741, test.acc = 0.756689
c = 16, sigma = 0.001, train.rain.acc = 0.759699, train.dry.acc = 0.763149,train.acc = 0.761309, test.rain.acc = 0.776492, test.dry.acc = 0.742317, test.acc = 0.758361
c = 17, sigma = 0.001, train.rain.acc = 0.760517, train.dry.acc = 0.764625,train.acc = 0.762432, test.rain.acc = 0.775893, test.dry.acc = 0.740566, test.acc = 0.757107
